EmployeeID,Age,Department,JobLevel,YearsAtCompany,MonthlyIncome,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome
EMP0056,29,Engineering,3,5,10745,3,4,Yes,10.5
EMP0057,34,Finance,1,1,5921,4,3,No,10.3
EMP0058,41,Finance,2,2,8156,4,3,No,1.9
EMP0059,47,HR,3,10,8930,4,3,No,9.1
EMP0060,33,Sales,1,1,5176,5,2,No,20.7
EMP0061,36,Sales,2,2,5701,2,2,Yes,8.6
EMP0062,26,Operations,2,2,7263,2,4,No,9.1
EMP0063,26,Operations,1,2,4759,4,2,No,11
EMP0064,46,Finance,3,13,12814,3,2,No,11.3
EMP0065,51,Operations,2,5,7562,3,1,No,2.8
EMP0066,37,Finance,4,14,14414,5,4,No,6.3
EMP0067,48,Operations,2,13,7958,4,3,Yes,15.6
EMP0068,41,Sales,3,6,9374,4,2,Yes,13.5
EMP0069,31,Engineering,2,9,8609,3,3,No,8.1
EMP0070,41,HR,4,14,10855,3,3,No,14.1
EMP0071,53,Engineering,4,30,18184,5,4,Yes,15.6
EMP0072,37,Finance,3,12,12464,4,3,Yes,5.3
EMP0073,53,IT,2,9,9312,4,3,No,32.6
EMP0074,22,Engineering,1,0,6180,3,2,No,4.9
EMP0075,46,IT,4,21,16196,2,2,Yes,4.1
EMP0076,38,HR,4,16,11158,3,3,No,14.5
EMP0077,35,HR,4,10,9833,3,3,Yes,10.2
EMP0078,38,Marketing,4,16,13068,4,3,No,4.3
EMP0079,22,Engineering,1,0,5477,2,3,Yes,17
EMP0080,35,Engineering,3,11,11693,3,4,No,4
EMP0081,41,Marketing,2,14,9015,2,3,No,6.2
EMP0082,52,IT,5,25,19938,3,1,No,13.3
EMP0083,32,Marketing,2,8,8323,5,1,Yes,12.7
EMP0084,29,Engineering,2,4,8856,3,2,Yes,6.4
EMP0085,32,Sales,3,8,9486,1,4,Yes,21.1
EMP0086,47,IT,2,4,8307,4,3,No,1
EMP0087,41,HR,1,3,3619,4,3,No,5.9
EMP0088,32,IT,2,8,8975,3,2,No,11.5
EMP0089,43,Marketing,2,2,6734,3,3,No,5.5
EMP0090,38,Marketing,2,2,6375,5,3,No,5.5
EMP0091,47,Finance,3,25,13374,5,2,No,3.9
EMP0092,30,Engineering,1,1,6394,4,3,No,2
EMP0093,34,Finance,1,0,5697,3,2,No,20.2
EMP0094,34,HR,4,11,10585,2,2,No,7.9
EMP0095,23,Finance,1,1,6484,3,1,No,19.2
EMP0096,40,Operations,1,1,4073,3,4,No,12.1
EMP0097,40,Sales,3,10,9816,2,2,No,9.8
EMP0098,38,Marketing,1,2,5105,4,3,No,49.9
EMP0099,35,Sales,3,6,9710,5,2,No,8.8
EMP0100,23,Sales,1,1,4245,5,3,No,7.2
EMP0101,33,Finance,3,6,11171,4,1,Yes,6.2
EMP0102,34,Sales,1,1,4774,4,4,No,13.3
EMP0103,29,Marketing,1,0,5609,3,3,Yes,6.9
EMP0104,36,Sales,2,2,6604,5,4,Yes,26
EMP0105,42,Engineering,1,1,6031,3,3,No,10.4
EMP0106,56,Sales,1,1,4471,1,2,No,16.3
EMP0107,39,Sales,4,14,11923,4,3,No,3.5
EMP0108,40,Operations,2,2,5247,3,2,Yes,2.8
EMP0109,37,Marketing,2,4,7339,3,4,No,8.9
EMP0110,22,IT,1,0,5508,3,2,Yes,4.6
EMP0111,37,Sales,3,10,9029,3,2,Yes,14.6
EMP0112,38,Operations,3,6,8179,2,3,No,7.9
EMP0113,60,Finance,2,5,8001,1,2,No,4.1
EMP0114,36,Engineering,3,13,12493,3,2,No,4.5
EMP0115,41,Finance,1,0,5812,3,3,Yes,10.5
EMP0116,37,Finance,2,9,9363,3,2,No,23.6
EMP0117,26,HR,1,0,4789,5,2,No,14.5
EMP0118,49,Finance,3,16,12454,4,3,No,17.3
EMP0119,45,Engineering,3,13,11989,1,2,Yes,3.3
EMP0120,45,Engineering,3,9,11985,1,3,No,7.7
EMP0121,28,HR,2,5,6030,4,3,Yes,1.4
EMP0122,52,Operations,2,7,6438,5,3,Yes,9.6
EMP0123,23,Engineering,1,1,6686,3,3,No,16.4
EMP0124,43,Engineering,3,13,12977,3,2,Yes,7.8
EMP0125,59,Marketing,2,6,7935,3,4,No,15
EMP0126,28,Operations,2,5,5887,4,4,No,2.3
EMP0127,32,Finance,2,3,8109,3,3,No,23.5
EMP0128,38,Sales,1,0,5663,2,3,No,12.3
EMP0129,32,Finance,2,8,8481,3,4,Yes,3.3
EMP0130,22,HR,1,0,3890,3,3,No,10.8
EMP0131,38,HR,3,14,9994,5,3,No,7.2
EMP0132,27,Marketing,1,0,4780,4,3,Yes,5
EMP0133,42,Finance,5,19,16920,4,1,No,1.6
EMP0134,28,Operations,1,2,4385,3,3,No,6
EMP0135,53,Marketing,3,22,12473,2,2,No,6.1
EMP0136,30,Marketing,2,4,7132,5,2,No,6.6
EMP0137,34,Engineering,2,4,9461,3,4,No,10.1
EMP0138,46,Sales,2,3,6552,4,3,No,19.4
EMP0139,25,IT,1,0,5903,4,3,Yes,18.1
EMP0140,40,HR,4,13,10541,5,2,No,5.1
EMP0141,51,Marketing,4,25,14082,2,1,Yes,3.5
EMP0142,22,Operations,1,0,3102,4,3,No,7.2
EMP0143,39,Sales,3,7,9264,3,3,No,3.2
EMP0144,40,Operations,1,1,3442,2,3,No,3.4
EMP0145,45,Operations,3,7,8992,4,4,No,14.6
EMP0146,25,Operations,1,0,4263,4,4,No,16.5
EMP0147,24,Sales,1,0,5512,1,4,No,4.5
EMP0148,43,HR,1,3,4158,4,3,No,6.5
EMP0149,40,Sales,4,18,13467,2,1,No,8.7
EMP0150,40,Marketing,2,4,7454,4,4,No,12.3
EMP0151,41,Finance,2,4,8764,4,4,No,4.1
EMP0152,31,Sales,2,4,7172,4,3,No,5.8
EMP0153,40,Finance,3,18,11682,2,2,Yes,5
EMP0154,40,Engineering,3,11,14046,4,1,No,11.1
EMP0155,30,Operations,1,3,5459,2,3,No,9.1
EMP0156,56,Marketing,1,0,5198,4,3,Yes,2.9
EMP0157,42,Engineering,3,6,12364,2,1,No,16.6
EMP0158,26,Engineering,1,0,6136,4,4,No,19.8
EMP0159,44,Operations,1,1,4793,5,3,Yes,2.8
EMP0160,28,HR,1,2,4378,3,3,No,11.1
EMP0161,45,Engineering,2,6,8779,4,3,No,2.3
EMP0162,49,Sales,5,16,14049,3,2,No,21.1
EMP0163,29,Engineering,1,2,6038,4,4,No,16.4
EMP0164,47,Operations,2,2,6496,4,1,No,7.6
EMP0165,42,Operations,2,5,6103,3,3,No,6
EMP0166,46,Sales,4,21,13123,2,3,No,7.1
EMP0167,56,Engineering,3,28,14295,5,2,No,2.9
EMP0168,35,Sales,1,1,5035,4,3,Yes,12.5
EMP0169,30,IT,1,1,5340,4,2,No,15.5
EMP0170,29,Marketing,3,5,10051,3,4,No,8.2
EMP0171,29,Operations,1,1,4408,3,3,Yes,16.6
EMP0172,37,Finance,2,4,8821,4,4,No,18.6
EMP0173,41,Operations,3,14,9584,2,4,No,10.1
EMP0174,40,IT,2,3,8976,5,4,Yes,2.4
EMP0175,46,Sales,5,20,14774,2,3,Yes,5.4
EMP0176,38,IT,1,0,6014,4,4,Yes,6.4
EMP0177,52,Operations,3,14,8764,3,1,No,17.7
EMP0178,35,Engineering,1,0,5678,4,2,Yes,7.1
EMP0179,60,Operations,4,13,11108,3,2,Yes,12.7
EMP0180,44,Finance,3,18,13285,3,2,No,6.7
EMP0181,29,Operations,1,1,4522,3,1,No,11.4
EMP0182,27,Sales,2,3,5890,2,3,Yes,7.8
EMP0183,42,Marketing,1,1,5368,5,3,No,14.4
EMP0184,35,Sales,2,5,6611,5,3,No,1
EMP0185,45,Operations,2,12,7284,3,3,Yes,5.3
EMP0186,42,IT,5,16,17450,3,4,Yes,4.9
EMP0187,37,Finance,2,5,8588,4,4,No,12.2
EMP0188,29,HR,2,4,5811,4,3,No,14
EMP0189,22,Finance,1,0,4626,5,1,No,13.5
EMP0190,33,Engineering,3,5,11461,3,3,No,2.9
EMP0191,46,Marketing,2,4,7488,4,3,No,7.6
EMP0192,40,Finance,3,6,11516,3,1,No,5.7
EMP0193,25,Sales,1,0,4521,4,2,No,25.9
EMP0194,39,Sales,4,12,12289,3,2,No,3
EMP0195,41,Finance,4,18,15858,4,3,No,3.8
EMP0196,29,Engineering,2,5,8596,3,2,No,21.4
EMP0197,39,Operations,1,0,4935,3,3,No,11.6
EMP0198,38,Engineering,3,12,13066,3,3,No,4.3
EMP0199,26,Sales,2,2,5490,5,4,Yes,21.1
EMP0200,41,Marketing,2,6,7806,4,3,No,1.2
EMP0201,43,Finance,4,19,15302,4,3,No,13.6
EMP0202,48,Marketing,2,2,7468,4,1,Yes,9.2
EMP0203,48,Finance,4,25,16678,4,3,No,15.3
EMP0204,24,HR,1,0,4295,3,3,Yes,10.3
EMP0205,28,Finance,1,0,4785,3,2,No,18.7
EMP0206,43,Sales,2,7,7746,3,2,No,16.2
EMP0207,43,Engineering,4,16,15028,2,4,No,9.4
EMP0208,43,Sales,4,12,11423,3,2,Yes,3.4
EMP0209,60,Sales,3,13,10599,4,4,Yes,4.5
EMP0210,43,Sales,1,4,5592,1,2,No,3.3
EMP0211,49,Sales,4,25,13669,2,2,No,10.9
EMP0212,47,IT,4,23,15847,5,3,Yes,9.4
EMP0213,44,Engineering,3,21,13849,5,2,No,4.1
EMP0214,34,Sales,3,6,8943,3,3,No,23
EMP0215,45,Operations,4,23,12406,4,3,Yes,5.7
EMP0216,30,Engineering,3,5,12117,2,4,No,21.7
EMP0217,35,Engineering,4,10,14492,3,4,No,9.5
EMP0218,33,Engineering,3,5,11419,4,3,No,5.2
EMP0219,38,Engineering,3,5,11432,5,2,Yes,13
EMP0220,60,Engineering,4,22,16848,3,2,No,2.6
EMP0221,22,Engineering,1,0,6127,3,2,No,7
EMP0222,44,Operations,2,3,6439,4,4,No,22.9
EMP0223,22,Sales,1,0,4028,4,3,No,29.2
EMP0224,33,Sales,1,0,4617,5,2,No,4.4
EMP0225,48,Marketing,1,4,5973,4,3,Yes,17.2
EMP0226,38,Engineering,1,2,6127,3,4,No,6.9
EMP0227,27,Engineering,2,3,8922,2,3,Yes,8.7
EMP0228,30,Operations,3,6,8920,3,4,No,2.1
EMP0229,44,IT,2,4,8319,3,4,Yes,12.1
EMP0230,30,Operations,2,3,5936,2,3,No,15.1
EMP0231,40,Sales,4,16,12239,3,4,No,2.5
EMP0232,38,IT,2,5,9260,3,3,No,15.8
EMP0233,31,Engineering,2,9,8258,5,3,No,27.3
EMP0234,59,Sales,3,31,12652,3,3,No,27.3
EMP0235,44,HR,3,22,10147,5,2,Yes,14.1
EMP0236,22,Finance,1,0,5678,3,3,No,8.1
EMP0237,39,Sales,4,15,12100,4,4,No,14
EMP0238,31,Marketing,1,0,5571,3,4,No,3.8
EMP0239,46,Operations,4,13,11514,1,4,Yes,7.4
EMP0240,30,Engineering,1,3,6336,3,4,No,5.8
EMP0241,36,Finance,4,11,13240,3,3,No,3.5
EMP0242,43,Engineering,3,8,12174,3,2,Yes,6.8
EMP0243,46,Engineering,3,14,12750,4,3,Yes,19.9
EMP0244,25,Engineering,2,3,8747,3,1,Yes,6.1
EMP0245,34,Marketing,2,9,7768,5,1,No,7.9
EMP0246,33,Engineering,3,5,11626,5,2,Yes,13.7
EMP0247,31,Operations,1,1,4096,4,1,Yes,7.5
EMP0248,55,IT,2,5,8666,5,3,No,6.4
EMP0249,42,IT,2,3,6761,2,4,No,7.8
EMP0250,25,Sales,2,2,6616,2,3,No,4
EMP0251,47,Sales,5,25,14974,3,2,No,19.3
EMP0252,59,Engineering,4,22,16757,3,4,No,2.7
EMP0253,48,Finance,2,11,9385,4,4,No,3
EMP0254,22,IT,1,0,5065,4,1,Yes,8.6
EMP0255,33,Operations,2,2,6128,3,3,No,19.9
EMP0256,50,Marketing,4,21,14257,3,3,No,15.3
EMP0257,30,Sales,2,3,7793,2,3,No,5
EMP0258,42,Operations,2,2,6479,3,4,No,11
EMP0259,45,Sales,2,2,5954,3,3,No,5.8
EMP0260,28,Sales,3,5,9821,3,2,No,11.2
EMP0261,37,Operations,1,1,4212,3,3,Yes,7.8
EMP0262,22,Marketing,1,0,4860,4,3,No,2
EMP0263,27,Sales,1,2,5770,1,4,Yes,6.7
EMP0264,35,Engineering,1,2,5985,3,3,No,5.5
EMP0265,25,Sales,1,0,4421,5,4,No,2.9
EMP0266,54,Marketing,3,9,9534,4,2,No,13
EMP0267,23,Engineering,1,0,5980,4,3,Yes,8.8
EMP0268,33,Operations,2,2,6104,5,3,No,1.5
EMP0269,39,Engineering,2,8,9401,3,4,No,5.9
EMP0270,52,HR,2,3,6129,2,3,No,10.1
EMP0271,23,Sales,1,0,4090,3,2,Yes,22.3
EMP0272,49,Engineering,4,18,16632,4,2,No,1.7
EMP0273,38,Finance,4,15,14359,3,1,No,12.9
EMP0274,28,Finance,1,0,5115,3,3,No,8.1
EMP0275,42,Sales,5,20,14003,4,3,No,14.3
EMP0276,39,HR,1,0,4023,1,4,No,2.1
EMP0277,31,Operations,2,6,7239,3,4,No,7.3
EMP0278,38,Engineering,4,11,15028,3,4,No,10.9
EMP0279,34,Sales,1,0,5492,3,1,No,2.8
EMP0280,39,Engineering,3,14,13903,3,4,No,26.3
EMP0281,44,Marketing,3,6,9260,3,2,No,8.2
EMP0282,53,Sales,4,27,13204,5,3,No,3.4
EMP0283,25,Engineering,1,0,5615,3,2,Yes,18.8
EMP0284,59,Marketing,2,2,7652,3,2,Yes,5
EMP0285,22,IT,1,0,5995,3,2,Yes,5.1
EMP0286,36,Engineering,3,10,12805,1,2,Yes,4.4
EMP0287,43,Sales,3,5,8332,3,1,No,5.4
EMP0288,40,Marketing,3,5,8863,1,1,No,3.6
EMP0289,31,Engineering,3,6,11404,4,3,Yes,5.8
EMP0290,35,Sales,3,10,9893,3,3,Yes,15.8
EMP0291,33,Marketing,4,10,12580,5,1,No,3.6
EMP0292,32,IT,1,0,6422,5,3,No,21
EMP0293,46,Operations,3,22,10504,4,3,No,25.1
EMP0294,41,Sales,4,17,12947,5,1,No,4.3
EMP0295,31,Operations,2,5,6326,5,4,Yes,1.8
EMP0296,46,Sales,4,23,13739,4,4,Yes,8.5
EMP0297,41,Engineering,3,18,13880,3,2,Yes,5.4
EMP0298,46,IT,3,7,12277,5,3,No,4.3
EMP0299,44,IT,3,19,12620,4,3,Yes,12.4
EMP0300,29,Sales,2,7,8041,2,2,No,16.6
EMP0301,32,Sales,2,4,7122,3,3,Yes,8.6
EMP0302,45,Engineering,2,10,9930,3,3,Yes,9.9
EMP0303,44,Marketing,5,20,15933,3,4,No,8.5
EMP0304,37,Operations,2,2,6143,3,1,No,4.2
EMP0305,39,Sales,4,13,11869,3,3,Yes,7.2
EMP0306,50,Engineering,3,26,13895,2,4,No,4.1
EMP0307,32,Engineering,2,8,9722,4,3,No,14.7
EMP0308,43,Sales,1,0,4575,3,2,No,16.2
EMP0309,35,Operations,1,0,3871,4,2,Yes,5.3
EMP0310,35,Operations,2,9,7246,4,3,No,11.8
EMP0311,48,Sales,2,11,8501,2,3,Yes,20.9
EMP0312,46,Sales,2,10,7492,3,3,Yes,9.1
EMP0313,46,Sales,5,20,14130,4,1,No,15.8
EMP0314,51,HR,1,0,3638,3,3,No,1.2
EMP0315,38,Sales,3,11,8706,4,4,No,10.3
EMP0316,44,HR,4,16,12095,5,3,No,8.1
EMP0317,34,Engineering,1,1,5734,2,3,No,3.1
EMP0318,41,Sales,3,17,11281,2,2,Yes,10.7
EMP0319,36,Operations,2,3,5709,3,2,No,4.7
EMP0320,38,Sales,2,7,7040,4,3,No,13.8
EMP0321,43,Operations,1,1,4382,3,3,No,17.7
EMP0322,29,Marketing,3,5,10071,2,2,No,17
EMP0323,58,Operations,3,24,11125,3,4,No,22.1
EMP0324,27,Sales,2,3,5980,4,2,No,6.8
EMP0325,25,Finance,1,0,5472,4,1,No,9.9
EMP0326,49,Sales,1,1,5279,5,3,No,6.9
EMP0327,45,IT,4,16,15322,4,2,No,2.6
EMP0328,44,Finance,3,9,12357,3,1,No,5
EMP0329,44,Engineering,2,8,9685,3,3,Yes,16.3
EMP0330,37,Engineering,2,14,11006,5,4,No,4.9
EMP0331,29,Operations,1,1,4612,3,3,Yes,5.7
EMP0332,38,IT,4,16,14843,4,1,Yes,3.3
EMP0333,31,Operations,1,0,4169,3,3,No,18.1
EMP0334,47,Operations,3,9,9466,3,2,No,2.7
EMP0335,36,Operations,1,1,4176,3,3,No,6.7
EMP0336,29,Marketing,3,6,10099,4,3,No,22.6
EMP0337,34,Sales,3,11,9439,3,2,Yes,2.9
EMP0338,42,Sales,2,5,7514,4,3,Yes,8.8
EMP0339,32,Marketing,3,10,10541,1,4,No,29.4
EMP0340,29,Engineering,1,1,6582,5,3,No,5.6
EMP0341,40,Marketing,4,17,14172,5,4,Yes,15.6
EMP0342,40,Sales,1,0,4835,3,3,No,11.4
EMP0343,32,Marketing,2,2,7209,3,3,No,20.8
EMP0344,33,Sales,1,3,4868,2,3,No,1.3
EMP0345,40,HR,2,9,5897,2,3,No,7.8
EMP0346,23,HR,1,0,4214,4,3,No,1.7
EMP0347,23,Sales,1,0,5024,4,4,No,12
EMP0348,30,Operations,3,6,7840,3,4,No,7.5
EMP0349,35,HR,4,13,10671,3,2,No,12.1
EMP0350,41,Operations,3,14,9571,3,3,No,1
EMP0351,52,Engineering,3,9,12381,5,3,No,6.7
EMP0352,46,Sales,5,23,15223,2,2,No,21.3
EMP0353,36,Sales,2,8,7044,4,2,No,13.9
EMP0354,37,Sales,2,11,8755,2,2,No,11.3
EMP0355,27,Sales,2,4,6065,3,2,Yes,6.8
EMP0356,37,Sales,3,8,8996,3,4,Yes,32.7
EMP0357,35,Operations,3,7,7944,2,3,Yes,22.7
EMP0358,41,IT,2,9,9647,2,4,Yes,16.8
EMP0359,29,IT,1,0,6032,3,4,Yes,21.1
EMP0360,43,IT,3,7,11431,2,3,Yes,6.2
EMP0361,53,HR,4,21,11343,3,4,No,13.7
EMP0362,36,Marketing,2,3,6983,2,3,No,16.6
EMP0363,42,Sales,4,15,12596,3,3,Yes,6.6
EMP0364,44,Sales,3,11,9710,3,2,No,4.7
EMP0365,33,Operations,3,8,8532,4,3,No,5.8
EMP0366,40,Operations,3,9,8561,4,2,No,9.2
EMP0367,38,Operations,5,15,13110,3,2,Yes,10.1
EMP0368,38,Operations,3,9,9194,5,2,No,9.7
EMP0369,30,Engineering,2,8,9477,3,3,Yes,8.9
EMP0370,38,HR,2,2,6116,2,3,No,1
EMP0371,42,HR,4,18,10718,5,3,No,23
EMP0372,52,IT,4,10,14827,3,4,Yes,12.6
EMP0373,47,IT,2,5,8851,3,3,Yes,23.6
EMP0374,59,Marketing,3,5,9259,5,3,No,13.8
EMP0375,30,Sales,2,5,7270,4,4,Yes,10.6
EMP0376,46,Engineering,1,4,6690,4,3,No,4.3
EMP0377,39,Engineering,4,13,14588,3,4,Yes,9.9
EMP0378,59,Operations,1,1,4289,5,2,Yes,10.2
EMP0379,29,Sales,3,5,8591,4,3,No,13.8
EMP0380,29,Sales,3,6,8366,4,2,No,4.7
EMP0381,32,Engineering,2,3,8639,3,3,Yes,2.6
EMP0382,22,IT,1,0,5277,3,3,No,5.5
EMP0383,32,HR,1,2,3688,3,3,No,7.9
EMP0384,30,Marketing,3,7,10298,4,3,Yes,13.3
EMP0385,39,Engineering,2,14,10652,4,3,No,6.1
EMP0386,41,Sales,5,19,14421,3,2,No,8.8
EMP0387,56,Sales,4,23,12229,4,4,No,6.4
EMP0388,47,Operations,5,16,13284,4,3,Yes,6.4
EMP0389,32,Operations,3,8,9140,4,4,Yes,21.7
EMP0390,29,HR,3,5,8555,3,3,No,14
EMP0391,42,Engineering,4,17,16258,3,3,Yes,8.3
EMP0392,24,Operations,2,2,5585,4,3,No,12.4
EMP0393,56,Finance,3,27,13561,5,3,Yes,6.3
EMP0394,49,Sales,5,21,14766,3,2,No,9.7
EMP0395,33,Engineering,2,7,9411,5,2,Yes,8
EMP0396,22,Finance,1,0,5515,2,2,No,18.6
EMP0397,51,Marketing,4,26,15459,3,1,No,6
EMP0398,36,IT,1,4,6497,3,1,Yes,4.4
EMP0399,50,Operations,3,21,11316,3,3,No,8.3
EMP0400,22,Sales,1,0,4112,3,3,No,1.6
EMP0401,32,Finance,3,9,11055,3,4,No,9.2
EMP0402,38,Engineering,3,7,11637,3,2,No,9.7
EMP0403,38,Finance,3,5,10621,3,3,No,6.7
EMP0404,33,Marketing,2,11,7971,2,2,No,9.1
EMP0405,44,HR,2,14,8660,5,4,No,13.7
EMP0406,27,Operations,2,3,6378,4,4,No,9.6
EMP0407,36,Finance,3,8,10528,4,3,No,9.5
EMP0408,39,Operations,3,5,7766,3,3,No,12.5
EMP0409,43,Engineering,2,11,10090,3,4,No,5
EMP0410,45,Engineering,4,14,15596,5,3,No,21.3
EMP0411,26,Marketing,2,3,7919,5,1,No,5.1
EMP0412,22,IT,1,0,5823,5,3,No,16.7
EMP0413,50,Engineering,3,8,12304,4,1,Yes,5.4
EMP0414,41,Sales,3,18,10970,3,3,No,13.8
EMP0415,30,Engineering,2,4,8947,4,3,Yes,11.6
EMP0416,53,Marketing,1,1,4979,4,3,No,2.8
EMP0417,39,Operations,3,12,9373,5,2,No,16.1
EMP0418,49,Finance,3,12,11642,3,1,No,5.1
EMP0419,38,IT,3,7,11486,3,4,Yes,8.1
EMP0420,58,Operations,4,12,11264,3,3,No,1.3
EMP0421,55,Engineering,3,5,12359,3,2,Yes,4.4
EMP0422,35,Marketing,3,5,9247,4,3,No,12.4
EMP0423,47,Finance,4,20,15147,4,4,No,16.7
EMP0424,44,IT,3,11,12265,3,3,Yes,8.1
EMP0425,51,Sales,3,11,9564,2,1,No,14.8
EMP0426,28,Sales,1,0,5039,3,3,Yes,22.6
EMP0427,44,Sales,2,6,6956,3,4,Yes,3.1
EMP0428,48,Marketing,4,25,15087,4,4,No,10.4
EMP0429,22,Sales,1,0,5129,3,4,No,7.1
EMP0430,26,Finance,1,0,5698,3,2,No,4.2
EMP0431,22,Operations,1,0,4111,5,3,Yes,9.3
EMP0432,35,Engineering,3,9,12390,3,2,Yes,11.1
EMP0433,45,Marketing,3,22,12101,3,3,No,5
EMP0434,53,IT,4,19,15255,5,2,No,16.7
EMP0435,38,Marketing,3,5,9933,5,3,No,13.3
EMP0436,54,Sales,3,14,10574,4,3,No,15.6
EMP0437,24,Engineering,1,0,6048,2,3,No,13.7
EMP0438,22,HR,1,0,4279,4,2,No,3.5
EMP0439,37,Sales,3,7,10303,3,2,No,24.1
EMP0440,41,Marketing,4,15,13860,3,3,No,3.7
EMP0441,37,IT,3,15,12407,5,3,No,1.8
EMP0442,22,Finance,1,0,5592,2,3,No,9.2
EMP0443,37,Engineering,2,4,9151,5,4,Yes,3.1
EMP0444,24,Engineering,1,1,5729,1,3,No,3.8
EMP0445,44,IT,5,19,18237,3,2,Yes,11.3
EMP0446,41,Operations,4,13,10812,1,3,No,13.5
EMP0447,28,HR,1,1,4486,5,4,No,14.9
EMP0448,32,Engineering,3,6,12666,2,2,Yes,10.4
EMP0449,27,Finance,2,5,8386,4,3,No,3.3
EMP0450,37,Engineering,3,14,13118,4,3,No,15.8
EMP0451,47,Sales,2,2,6745,4,4,No,5.4
EMP0452,28,Engineering,3,5,11083,4,3,No,2.1
EMP0453,43,Engineering,3,6,11331,1,2,Yes,7
EMP0454,32,Engineering,1,0,6179,3,3,No,14.9
EMP0455,30,Sales,1,0,4565,3,4,No,7.1
EMP0456,36,Sales,3,8,9233,5,4,No,8.2
EMP0457,27,Marketing,3,5,10216,4,2,No,10.5
EMP0458,32,Marketing,1,4,5833,4,2,No,15.5
EMP0459,26,Sales,2,4,8001,3,3,Yes,8.7
EMP0460,57,IT,5,31,19265,5,2,No,2.5
EMP0461,38,Engineering,3,5,11349,1,3,No,6.3
EMP0462,31,Sales,2,5,7776,3,1,Yes,6.1
EMP0463,40,Sales,1,0,5344,4,2,No,19.1
EMP0464,36,Finance,2,4,7870,3,1,No,7
EMP0465,35,Sales,3,8,9105,3,2,Yes,10.7
EMP0466,44,Sales,1,3,4860,3,1,Yes,11.5
EMP0467,45,Marketing,2,2,8004,2,3,Yes,7.1
EMP0468,32,HR,1,0,3932,2,3,No,4.8
